term,coef
destroyed,-1.9648340329492677
31 2005,-1.917320341590724
2018 company,-1.7281250292772152
warranty,-1.4705356248310293
31 2015,-1.463421414865074
fiscal 2003,-1.4488053938682468
2009,-1.4355406361527459
2001 2000,-1.4060921829228288
30 2001,-1.400255921665054
increase,-1.3996074427648166
acxiom,-1.3805829442895374
noncontrolling,-1.3705577792124835
30 2004,-1.3424206808907377
dsw,-1.3330292866249263
fiscal 2019,-1.290369122438929
fiscal 2006,-1.2871220655005804
rogers,-1.274199834270678
28 2013,-1.252352387439935
costco,-1.2455386312334553
2020,-1.2445807269743605
businesses,-1.2303280275731452
2012 compared,-1.2235277839513452
nil,-1.220571752364992
harbin,-1.2144530664964361
national corporation,-1.210634904852511
group subsidiaries,-1.2068747796837898
td,-1.2003001170728878
2017 2016,-1.1824504649983774
guyana,-1.181854491965937
empire,-1.1777600194384334
martin resource,-1.1558744221935657
29 2020,-1.145907665227538
paa,-1.1417538544587011
2013 annual,-1.1204411500467926
shell company,-1.111826673006545
dividends,-1.1025095970519654
client,-1.0952589523309981
applications,-1.0941754389551779
liveperson,-1.088731304474184
power systems,-1.0883481518808966
meridian,-1.0758088049456984
minnesota power,-1.0695645386863362
earnings,-1.0657405240632203
korea,-1.0632785629229646
daniels,-1.0615499256989096
spl,-1.0570355454165976
ampyra,-1.0540763245766982
2015,-1.0477585790818411
nathan,-1.039612545409419
cohen,-1.0383135920630004
