term,coef
31 1996,2.0954654295954778
31 1993,1.7095389484624002
oak,1.6230241584409097
1993 1992,1.6068375836139674
joway,1.5340424112980915
31 2019,1.5311106660584002
exploration,1.4485559400602825
fas,1.4404908365892763
apple,1.4234926390700349
gps,1.4154851762562617
2019,1.3815435572376682
park,1.3226962504754158
31 1998,1.3089361662095877
alliance,1.2782916656525054
february 27,1.2500468558703817
2010 2009,1.2460659692671128
eca,1.242955697175144
assays,1.2234008921392043
princeton,1.219447730939847
firstbank,1.217973625401642
february 2014,1.2091435929573324
million 2006,1.1898081751641718
gse,1.182972541966688
novartis,1.1780626005002666
rcm,1.173434619008155
management,1.1577408347184306
adams,1.1473430523483192
love,1.1436650887246422
pfizer,1.141447779153171
stevia,1.137907153520626
additional,1.1362345313523896
2019 compared,1.1326316118003488
2004 2003,1.1288174401965638
asu,1.128228775594786
noble,1.1279850951659025
channel,1.1227725639459072
incyte,1.1215850551300008
lease,1.1140339806879
utg,1.1045423489609092
2019 2018,1.1024925158166392
pa,1.101921034623658
investment securities,1.0952060574115634
federal,1.093691897040836
home,1.093440491578968
vulcan,1.088667442299463
valero,1.0838497201431974
pv,1.0749517349614839
sensors,1.074910249470252
trailer,1.0746766041523548
towers,1.0723844380110805
