term,coef
2020,-0.6646976423282228
31 2020,-0.49863988903288575
matson,-0.47612100156046816
company,-0.45296677993834145
amd,-0.37571878995425323
31 2005,-0.3737357067298494
ceco,-0.3732139002269516
intel,-0.3039389875922545
1995,-0.3030454507565006
2020 2019,-0.2768515830557721
2005 2004,-0.27420623342133077
december 26,-0.2652473052502633
registered trademark,-0.2540725992773377
1995 1994,-0.2470528877525616
2021,-0.245506363099892
gf,-0.24289825310393695
2017 2016,-0.23252533737180173
products,-0.20576921920122096
semi custom,-0.2018642813380222
covid,-0.1986710998366184
ceco environmental,-0.19805302340793332
covid 19,-0.19701919653642203
1994,-0.19681847415626225
microcode,-0.18963318993316772
1996,-0.1871188960132062
pandemic,-0.18680898361555714
environmental corp,-0.18559020360231504
air,-0.18062318559676702
bank facility,-0.170086275747778
consumer segment,-0.16767909207605994
